player_name,year,team,base_salary,prorated_bonus,,guaranteed_salary,capnumber,cap_percent,cash_paid
Jason Sanders,2024,Dolphins,3775000,731500,,0,4506500,1.8%,3775000
Teair Tart,2024,Chargers,1125000,0,,0,985000,0.4%,1125000
Kavontae Turpin,2024,Cowboys,985000,0,,0,985000,0.4%,985000
Kamren Curl,2024,Rams,2125000,0,,4000000,4250000,1.7%,4250000
Shelby Harris,2024,Browns,1210000,556000,,1210000,2276000,0.8%,4500000
Jimmie Ward,2024,Texans,1500000,4625000,,1500000,6419118,2.5%,7044118
Roy Robertson-Harris,2024,Seahawks,1700000,0,,1133333,1415686,0.5%,1415686
Kyle Van Noy,2024,Ravens,2000000,1625000,,2000000,3625000,1.4%,6000000
Brock Bowers,2024,Raiders,795000,2502961,,795000,3297961,1.3%,10806844
Amik Robertson,2024,Lions,1200000,1650000,,1200000,2850000,1.1%,4500000
Bo Nix,2024,Broncos,795000,2589212,,795000,3384212,1.3%,11151848
Daniel Carlson,2024,Raiders,3850000,800000,,0,4650000,1.8%,3850000
Will Dissly,2024,Chargers,1125000,1500000,,1125000,2625000,1.0%,5625000
Mario Edwards Jr.,2024,Texans,1210000,200000,,300000,1352876,0.5%,1424640
Darrell Taylor,2024,Bears,3116000,0,,0,3116000,1.2%,3116000
Garrett Bradbury,2024,Vikings,4650000,814000,,4650000,5814000,2.2%,5000000
Joe Tryon-Shoyinka,2024,Buccaneers,2183352,1371135,,1703015,3554487,1.4%,2183352
Chris Olave,2024,Saints,985000,2798977,,2456988,5255965,2.0%,2456988
Geno Stone,2024,Bengals,1125000,1500000,,3000000,6025000,2.3%,7425000
Younghoe Koo,2024,Falcons,4000000,1250000,,0,5250000,2.0%,4000000
Peter Skoronski,2024,Titans,915000,2826967,,1644242,4471209,1.7%,1644242
Austin Hooper,2024,Patriots,1210000,1200000,,1210000,3125000,1.2%,3375000
Akeem Davis-Gaither,2024,Bengals,1125000,0,,675500,2646264,1.0%,2742500
Malik Harrison,2024,Ravens,2575000,167500,,2575000,1292500,0.5%,2742500
Anthony Nelson,2024,Buccaneers,4000000,884000,,500000,5384000,2.1%,4500000
Chris Boswell,2024,Steelers,3120000,1600000,,0,4720000,1.8%,3120000
DeAndre Hopkins,2024,Chiefs,739444,619166,,739444,4368610,1.7%,4149444
Alohi Gilman,2024,Chargers,1125000,2250000,,1125000,3375000,1.3%,5625000
Brandon McManus,2024,Packers,1210000,0,,0,806667,0.3%,806667
Olu Fashanu,2024,Jets,795000,2934220,,795000,3729220,1.4%,12531880
Tyler Bass,2024,Bills,2800000,1020000,,3300000,4420000,1.7%,3400000
Garrett Wilson,2024,Jets,985000,3032092,,2573546,5605638,2.2%,2573546
Darnell Wright,2024,Bears,915000,3062413,,1703103,4765516,1.8%,1703103
Jordan Mason,2024,49ers,985000,3334,,0,859167,0.3%,855833
Michael Jackson Sr.,2024,Panthers,1055000,0,,0,1055000,0.4%,1055000
Tommy Tremble,2024,Panthers,2839213,235715,,0,3351715,1.3%,3116000
Luke Farrell,2024,Jaguars,1055000,89505,,0,1144505,0.4%,1055000
Sheldon Rankins,2024,Bengals,5450000,2000000,,4000000,11638398,4.4%,13353104
Najee Harris,2024,Steelers,2439198,1712262,,2439198,4151460,1.6%,2439198
Jason Myers,2024,Seahawks,3635000,1875000,,3535000,5510000,2.1%,3635000
Broderick Washington,2024,Ravens,2690000,750000,,2690000,4540000,1.8%,5990000
Ka'imi Fairbairn,2024,Texans,2030000,2232891,,2030000,4432891,1.7%,6500000
Dustin Hopkins,2024,Browns,1210000,717500,,1975000,2602500,0.9%,5472500
Charles Cross,2024,Seahawks,985000,3182932,,2648966,5831898,2.2%,2648966
Jaylen Warren,2024,Steelers,985000,4000,,,989000,0.4%,985000
Jahlani Tavai,2024,Patriots,1125000,1727084,,1125000,3452084,1.3%,7500000
J.J. McCarthy,2024,Vikings,795000,3178599,,795000,3973599,1.5%,13509396
Nick Allegretti,2024,Commanders,1130000,1178000,,1130000,2798000,1.1%,7510000
Drake London,2024,Falcons,985000,3210358,,2662680,5873038,2.3%,2662680
Devin Singletary,2024,Giants,2250000,1250000,,2250000,3750000,1.4%,6250000
Jalen Carter,2024,Eagles,915000,3214761,,1741190,4955951,1.9%,1741190
Graham Gano,2024,Giants,3085000,2126668,,5085000,7211668,2.8%,5085000
Adam Butler,2024,Raiders,1125000,250000,,850000,1900000,0.7%,2200000
Bijan Robinson,2024,Falcons,915000,3242462,,1748116,4990578,1.9%,1748116
Calais Campbell,2024,Dolphins,1210000,790000,,0,3125000,1.2%,3025000
Davon Godchaux,2024,Patriots,1650000,6833333,,1650000,9633333,3.6%,12800000
Alex Cappa,2024,Bengals,6000000,2250000,,0,9250000,3.5%,7000000
Jonathan Jones,2024,Patriots,8000000,3750000,,4000000,12750000,4.8%,9000000
Isaiah Rodgers,2024,Eagles,1055000,0,,0,1055000,0.4%,1055000
Rome Odunze,2024,Bears,795000,3336727,,795000,4131727,1.6%,14141908
Evan McPherson,2024,Bengals,1055000,1335929,,,2390929,0.9%,6055000
Michael Penix Jr.,2024,Falcons,795000,3365479,,795000,4160479,1.6%,14256916
Cameron Dicker,2024,Chargers,985000,600000,,985000,1585000,0.6%,3985000
Evan Brown,2024,Cardinals,1445000,650000,,450000,2335000,0.9%,2885000
Colton McKivitz,2024,49ers,1125000,828000,,1125000,2913000,1.0%,5360000
Jauan Jennings,2024,49ers,1055000,1242000,,1055000,2848471,1.0%,7816471
Hjalte Froholdt,2024,Cardinals,2000000,1883333,,2000000,4138333,1.5%,6240000
Keisean Nixon,2024,Packers,1125000,2166666,,0,3991666,1.5%,8325000
Noah Gray,2024,Chiefs,1055000,1578445,,1055000,2633445,1.0%,7405000
Coleman Shelton,2024,Bears,1810000,750000,,1000000,3500000,1.3%,3480000
James Hudson,2024,Browns,1055000,198104,,0,1253104,0.4%,1055000
Tyrod Taylor,2024,Jets,2000000,800000,,2000000,2800000,1.1%,6000000
Alex Singleton,2024,Broncos,5490000,1333333,,3000000,7333333,2.8%,5580000
Chauncey Golston,2024,Cowboys,1330443,233925,,0,1564368,0.6%,1330443
Jake Elliott,2024,Eagles,1210000,3360000,,1210000,4570000,1.8%,6700000
Tyquan Lewis,2024,Colts,1700000,2500000,,1700000,4810000,1.8%,7000000
Ted Karras,2024,Bengals,4000000,2500000,,0,7100000,2.7%,7600000
Jarrett Stidham,2024,Broncos,4490000,1000000,,1000000,7000000,2.7%,6000000
Mike Hughes,2024,Falcons,2570000,750000,,0,3845000,1.5%,3095000
Ethan Pocic,2024,Browns,1660000,984000,,0,3764000,1.3%,5960000
John Simpson,2024,Jets,1490000,700000,,1490000,3210000,1.2%,9010000
Zach Wilson,2024,Broncos,1055000,0,,2726637,2726637,1.1%,2726637
Quincy Williams,2024,Jets,1125000,1925000,,1125000,3050000,1.2%,6250000
Dante Fowler Jr.,2024,Commanders,1210000,1430000,,0,3250000,1.2%,4875000
A.J. Epenesa,2024,Bills,1125000,1287000,,1125000,2852000,1.1%,8200000
Cameron Jordan,2024,Saints,1210000,12642250,,1210000,13852250,5.4%,13000000
Evan Neal,2024,Giants,985000,3758865,,2936932,6695797,2.6%,2936932
Zach Ertz,2024,Commanders,1210000,750000,,1210000,3000000,1.1%,3750000
Alex Anzalone,2024,Lions,6000000,1200000,,3000000,7444118,2.9%,6058824
Josey Jewell,2024,Panthers,1125000,2333333,,1125000,3483333,1.3%,8150000
Jacoby Brissett,2024,Patriots,1500000,5000000,,1500000,8000000,3.0%,8000000
Tyree Wilson,2024,Raiders,915000,3796454,,1886614,5683068,2.2%,1886614
Matt Milano,2024,Bills,4125000,5432000,,4125000,12437000,4.9%,14505000
D.J. Wonnum,2024,Panthers,1350000,900000,,,2525000,1.0%,5000000
Drue Tranquill,2024,Chiefs,1250000,1500000,,1250000,3000000,1.2%,6000000
Elijah Molden,2024,Chargers,3116000,0,,0,3116000,1.2%,3116000
Harrison Butker,2024,Chiefs,1210000,2128797,,1210000,3388797,1.3%,8260000
Rashod Bateman,2024,Ravens,1055000,2779135,,1055000,3834135,1.5%,4500000
Ogbonnia Okoronkwo,2024,Browns,1660000,1100000,,1660000,4060000,1.4%,6360000
Kendrick Bourne,2024,Patriots,1300000,1400000,,1300000,3500000,1.3%,6300000
Donte Jackson,2024,Steelers,1250000,4750000,,0,6000000,2.3%,6000000
Eric Murray,2024,Texans,1250000,300000,,125000,1750000,0.7%,2100000
Joseph Ossai,2024,Bengals,1368084,284112,,,1652196,0.6%,1368084
Brandin Cooks,2024,Cowboys,8000000,2000000,,0,10000000,3.8%,7794118
Sebastian Joseph-Day,2024,Titans,1375000,2200000,,1375000,4000000,1.5%,4000000
J.C. Latham,2024,Titans,795000,3940489,,795000,4735489,1.8%,16556956
Graham Glasgow,2024,Lions,1500000,1437500,,1500000,2687500,1.0%,7000000
Larry Ogunjobi,2024,Steelers,5000000,3533333,,4750000,13283333,5.2%,9750000
Christian Elliss,2024,Patriots,985000,0,,0,985000,0.4%,985000
Brandon Jones,2024,Broncos,1245000,1833333,,1245000,3318333,1.3%,7000000
Germaine Pratt,2024,Bengals,3200000,2333333,,1000000,7133333,2.7%,4800000
Ikem Ekwonu,2024,Panthers,985000,4307373,,3211186,7518559,2.9%,3211186
Bobby Brown III,2024,Rams,1055000,189133,,0,1244133,0.5%,1055000
Josh Oliver,2024,Vikings,4700000,1424000,,2500000,6174000,2.4%,4750000
Arden Key,2024,Titans,1420000,1300000,,1420000,4220000,1.6%,5920000
Marquise Brown,2024,Chiefs,3500000,3000000,,3500000,6955882,2.8%,6794118
Michael Hoecht,2024,Rams,2985000,0,,0,2985000,1.2%,2985000
Donovan Wilson,2024,Cowboys,5500000,1650000,,5500000,7400000,2.8%,5750000
John Bates,2024,Commanders,3116000,180604,,0,3296604,1.2%,3116000
Robert Hainsey,2024,Buccaneers,3116000,213886,,0,3329886,1.3%,3116000
Malik Hooker,2024,Cowboys,1750000,2000000,,1750000,3985294,1.5%,2000000
Divine Deablo,2024,Raiders,3116000,245606,,0,3361606,1.3%,3116000
Cody Barton,2024,Broncos,1330000,1000000,,1330000,2500000,1.0%,3750000
Zaven Collins,2024,Cardinals,2900000,3710955,,2900000,6865955,2.5%,8540000
Aaron Brewer,2024,Dolphins,1125000,1118000,,1125000,2528000,1.0%,7000000
Bilal Nichols,2024,Cardinals,2700000,2000000,,2700000,5005000,1.9%,8825000
Jermaine Eluemunor,2024,Giants,1250000,2750000,,1250000,4750000,1.8%,7441176
Paris Johnson Jr.,2024,Cardinals,915000,4350447,,2025112,6375559,2.4%,2025112
Kaden Elliss,2024,Falcons,4900000,3250000,,2500000,8500000,3.3%,8250000
Trey Pipkins,2024,Chargers,6250000,2500000,,6250000,8750000,3.3%,6250000
Tedarrell Slaton,2024,Packers,3116000,70130,,0,3186130,1.2%,3116000
Tony Pollard,2024,Titans,1490000,2000000,,1490000,4000000,1.5%,8000000
Malik Nabers,2024,Giants,795000,4515500,,795000,5310500,2.0%,18857000
Darnell Savage Jr.,2024,Jaguars,1250000,1000000,,1250000,2882353,1.1%,6882353
Jarran Reed,2024,Seahawks,3980000,1500000,,0,6470000,2.5%,5170000
Connor McGovern,2024,Bills,1125000,2935000,,1125000,4160000,1.6%,5900000
Pete Werner,2024,Saints,1435185,1473578,,1435185,2908763,1.1%,6935185
Kevin Byard,2024,Bears,4390000,1500000,,4390000,6500000,2.5%,8000000
Ben Bredeson,2024,Buccaneers,1660000,0,,1750000,3000000,1.2%,3500000
Baron Browning,2024,Cardinals,3116000,0,,0,1558000,0.6%,1558000
Colby Parkinson,2024,Rams,1500000,2083333,,1500000,3583333,1.4%,7750000
Darious Williams,2024,Rams,3500000,1166666,,3500000,4666666,1.8%,7000000
Blake Cashman,2024,Vikings,1125000,1550000,,1725000,3186766,1.2%,9636765
Harrison Phillips,2024,Vikings,1420833,4009723,,1062500,5480556,2.1%,6500000
Patrick Jones II,2024,Vikings,1324104,225472,,0,1549576,0.6%,1324104
A'Shawn Robinson,2024,Panthers,1210000,2055000,,1210000,3290000,1.3%,8400000
John Franklin-Myers,2024,Broncos,2560000,2000000,,3000000,5000000,1.9%,7000000
Kenneth Murray,2024,Titans,2490000,2500000,,2490000,5410000,2.1%,7910000
Kayvon Thibodeaux,2024,Giants,985000,4993007,,3554004,8547011,3.3%,3554004
Ezra Cleveland,2024,Jaguars,1250000,1400000,,1250000,3591176,1.3%,9441176
Morgan Moses,2024,Jets,5500000,0,,0,5500000,2.1%,5500000
Devon Witherspoon,2024,Seahawks,915000,5042937,,2198234,7241171,2.8%,2198234
D'Andre Swift,2024,Bears,3890000,1333333,,3890000,5803333,2.2%,8500000
James Daniels,2024,Steelers,8250000,2916668,,0,11166668,4.3%,8250000
Mike Danna,2024,Chiefs,2250000,2166666,,2250000,4666666,1.8%,9000000
Curtis Samuel,2024,Bills,1210000,1725000,,1210000,3405000,1.3%,8540000
Marcus Mariota,2024,Commanders,2390000,3000000,,2390000,6000000,2.3%,6280000
Braden Smith,2024,Colts,11683000,3000000,,2000000,16683000,6.4%,13683000
DaQuan Jones,2024,Bills,1210000,1658000,,1210000,2868000,1.1%,8250000
Isaac Seumalo,2024,Steelers,7875000,2316666,,0,10191666,4.0%,7875000
Derrick Barnes,2024,Lions,3116000,195302,,0,3311302,1.3%,3116000
Joe Alt,2024,Chargers,795000,5234262,,795000,6029262,2.3%,21732048
Kyle Pitts,2024,Falcons,1055000,5323726,,5147796,10471522,4.0%,5147796
Samson Ebukam,2024,Colts,4425000,3000000,,0,7935000,3.1%,4935000
Chuba Hubbard,2024,Panthers,2085500,1684393,,527500,3769893,1.5%,9616000
Jeremy Chinn,2024,Commanders,1125000,2370000,,1125000,4105000,1.6%,4705000
Anthony Richardson,2024,Colts,915000,5430733,,2295183,7725916,3.0%,2295183
Ahmad Gardner,2024,Jets,985000,5376963,,3745982,9122945,3.5%,3745982
Mike Gesicki,2024,Bengals,1500000,0,,400000,2500000,0.9%,3000000
Sean Murphy-Bunting,2024,Cardinals,3695000,2000000,,3695000,5955000,2.2%,9955000
Jabrill Peppers,2024,Patriots,3180000,3050000,,3180000,6970000,2.6%,9560000
Andre Cisco,2024,Jaguars,3116000,292090,,0,3408090,1.3%,3116000
Tyler Higbee,2024,Rams,3000000,2101286,,8500000,12608639,4.9%,8676471
Dre'Mont Jones,2024,Seahawks,1125000,9135416,,0,10770416,4.1%,11510000
Demario Davis,2024,Saints,1300000,7733000,,1300000,9033000,3.5%,9000000
Adam Thielen,2024,Panthers,5500000,1667000,,6500000,9917000,3.8%,8044118
Jordyn Brooks,2024,Dolphins,1125000,1675000,,1125000,2800000,1.1%,10500000
Will Anderson Jr.,2024,Texans,915000,5652330,,2350583,8002913,3.1%,2350583
Aidan Hutchinson,2024,Lions,985000,5788343,,3951672,9740015,3.8%,3951672
Rhamondre Stevenson,2024,Patriots,3116000,1787265,,3116000,4903265,1.8%,11116000
Marvin Harrison Jr.,2024,Cardinals,795000,5636771,,795000,6431771,2.4%,23342084
"Chauncey Gardner-Johnson, Jr.",2024,Eagles,1375000,1175000,,2125000,3300000,1.3%,8500000
Logan Wilson,2024,Bengals,3500000,5000000,,,9050000,3.4%,7891176
Yetur Gross-Matos,2024,49ers,1125000,1653000,,1125000,3238000,1.1%,9820000
Hunter Henry,2024,Patriots,1650000,2500000,,1650000,5441176,2.1%,11441176
Ryan Kelly,2024,Colts,11375000,2250000,,1000000,14625000,5.6%,12375000
Kevin Zeitler,2024,Lions,1210000,4280000,,1210000,5970000,2.3%,5970000
Jack Conklin,2024,Browns,4500000,2134583,,5500000,11148642,3.8%,13497059
Bobby Wagner,2024,Commanders,4060000,2000000,,4060000,6500000,2.5%,8000000
Lavonte David,2024,Buccaneers,4000000,0,,8500000,8500000,3.4%,8750000
David Montgomery,2024,Lions,2270833,2370833,,2270833,5053431,2.0%,8911765
C.J. Stroud,2024,Texans,915000,5846226,,2399057,8245283,3.2%,2399057
Drake Maye,2024,Patriots,795000,5866775,,795000,6661775,2.5%,24262100
Poona Ford,2024,Chargers,1125000,665000,,0,1790000,0.7%,1790000
Travon Walker,2024,Jaguars,985000,6090022,,4102512,10192534,3.8%,4102512
Jayden Daniels,2024,Commanders,795000,6068027,,795000,6863027,2.6%,25067108
Bryce Young,2024,Panthers,915000,6150922,,2475231,8626153,3.3%,2475231
James Conner,2024,Cardinals,4235000,5250000,,1500000,11240000,4.2%,12710000
Ernest Jones,2024,Seahawks,3116000,0,,0,1904222,0.7%,1904222
Dawson Knox,2024,Bills,2410000,5068000,,2410000,7728000,3.0%,9000000
Caleb Williams,2024,Bears,795000,6384283,,795000,7179283,2.8%,26332132
Uchenna Nwosu,2024,Seahawks,1125000,3750000,,1125000,7813333,3.0%,9580000
Joe Mixon,2024,Texans,3000000,2000000,,3000000,5500000,2.1%,9411765
Leonard Floyd,2024,49ers,1210000,2158000,,1210000,3418000,1.2%,12050000
Foyesade Oluokun,2024,Jaguars,5000000,8750668,,5000000,15750668,5.9%,14882353
Jourdan Lewis,2024,Cowboys,2660000,167500,,2660000,1377500,0.5%,2827500
Josh Palmer,2024,Chargers,3116000,254919,,0,3370919,1.3%,3116000
"Jon Runyan, Jr.",2024,Giants,3750000,2500000,,3750000,6500000,2.5%,11500000
T.J. Edwards,2024,Bears,5900000,1500000,,0,7500000,2.9%,6000000
Dyami Brown,2024,Commanders,1334181,238909,,0,1573090,0.6%,1334181
Maliek Collins,2024,49ers,1210000,1358000,,1210000,3068000,1.0%,8500000
Taysom Hill,2024,Saints,1210000,7986500,,0,9196500,3.6%,10000000
Tyler Biadasz,2024,Commanders,1200000,2700000,,1200000,4385294,1.7%,15170588
Darius Slay,2024,Eagles,1210000,7413483,,1210000,10651483,4.1%,11500000
Bobby Okereke,2024,Giants,1125000,5463333,,1125000,6688333,2.6%,8000000
Dallas Goedert,2024,Eagles,1125000,4479583,,6000000,9131583,3.5%,14250000
Kristian Fulton,2024,Chargers,1320000,1125000,,1320000,3045000,1.2%,3295000
Mekhi Becton,2024,Eagles,1000000,871176,,1000000,1971176,0.8%,4661764
Aaron Jones,2024,Vikings,2000000,800000,,3000000,3800000,1.4%,7000000
Kenny Moore,2024,Colts,4240000,2250000,,4240000,6970000,2.7%,11440000
Amani Hooker,2024,Titans,6550000,2500000,,2350000,9338235,3.6%,7338235
Tutu Atwell,2024,Rams,1465731,414309,,0,1880040,0.7%,1465731
Justin Jones,2024,Cardinals,3000000,3250000,,3000000,6555000,2.4%,12830000
Juwan Johnson,2024,Saints,1125000,1875000,,500000,3500000,1.4%,6000000
Michael Carter II,2024,Jets,1366000,1282232,,1366000,2648232,1.0%,7366000
Taron Johnson,2024,Bills,1125000,6162500,,1125000,8447500,3.3%,9385000
Harrison Smith,2024,Vikings,1490000,5315882,,0,7315882,2.8%,8970000
Frankie Luvu,2024,Commanders,1125000,2300000,,1125000,3865000,1.5%,13715000
Zach Sieler,2024,Dolphins,1125000,3402000,,1635000,6312000,2.5%,9860000
Justin Reid,2024,Chiefs,9990000,3500000,,0,14250000,5.6%,10750000
Russell Wilson,2024,Steelers,1210000,0,,1210000,1210000,0.5%,1210000
Zaire Franklin,2024,Colts,2880000,1250000,,6880000,8640000,3.3%,12390000
Dre Greenlaw,2024,49ers,8100000,932382,,2500000,9602970,3.2%,8258824
Noah Fant,2024,Seahawks,2490000,4500000,,2490000,7500000,2.9%,11910000
Demarcus Lawrence,2024,Cowboys,10000000,10445000,,0,20445000,7.9%,10000000
Terrel Bernard,2024,Bills,1141624,228248,,0,1399872,0.5%,1171624
Julian Love,2024,Seahawks,1465000,5035000,,1465000,6500000,2.5%,11965000
Jakobi Meyers,2024,Raiders,5000000,3992333,,5000000,9477333,3.6%,10940000
Cesar Ruiz,2024,Saints,1350000,3100000,,1350000,4450000,1.7%,9350000
B.J. Hill,2024,Bengals,7200000,3333334,,0,10833334,4.1%,7500000
Robert Spillane,2024,Raiders,1845000,800000,,1200000,5300000,2.0%,4470000
D.J. Reader,2024,Lions,1210000,1243000,,1210000,5378000,2.1%,11225000
